City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,75,-21.2,-175.2,Keleti Beach Resort
2,Port Lincoln,AU,77.85,0,-34.7333,135.8667,Port Lincoln Hotel
3,Hilo,US,78.53,100,19.7297,-155.09,Hilo Hawaiian Hotel
4,Saint-Philippe,RE,76.59,99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Rikitea,PF,79.32,3,-23.1203,-134.9692,People ThankYou
8,Kahului,US,82.42,20,20.8947,-156.47,Maui Seaside Hotel
13,Atuona,PF,78.76,20,-9.8,-139.0333,Villa Enata
14,Port Moresby,PG,83.05,100,-9.4431,147.1797,Lamana Hotel (Port Moresby)
19,Puerto Ayora,EC,75.54,36,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Grand Gaube,MU,77.38,90,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
28,Hobart,AU,75.02,20,-42.8794,147.3294,Mantra on Collins Hobart
30,Kieta,PG,85.93,100,-6.2167,155.6333,Uruna Bay Retreat
32,Labuhan,ID,79.25,100,-6.8844,112.2051,DoubleFAG
36,Avarua,CK,84.25,40,-21.2078,-159.775,Paradise Inn
38,Butaritari,KI,82.36,51,3.0707,172.7902,Isles Sunset Lodge
44,Bambous Virieux,MU,77.22,92,-20.3428,57.7575,Casa Tia Villa
58,Hithadhoo,MV,81.99,31,-0.6,73.0833,Scoop Guest House
59,Georgetown,MY,76.95,20,5.4112,100.3354,Cititel Penang
63,Port Augusta,AU,88.7,9,-32.5,137.7667,Majestic Oasis Apartments
71,Margahayu,ID,79.07,100,-6.4264,105.8646,Kharisma Beach Resort Labuan
75,Bairiki,KI,81.88,35,1.3292,172.9752,Tarawa Boutique Hotel
82,Ahipara,NZ,76.66,96,-35.1667,173.1667,Ahipara Holiday Park
102,Ende,ID,82.44,22,-8.8432,121.6623,Dwi Putra Hotel - Ende
103,Riachao,BR,75.24,68,-7.3619,-46.6172,Pousada Nordestina
106,Punta Cardon,VE,78.24,4,11.6581,-70.215,Bambuda hotel
107,Lompoc,US,76.57,0,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
110,Mahebourg,MU,77.25,88,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Isangel,VU,81.01,100,-19.55,169.2667,Tanna Lodge
119,Kununurra,AU,76.98,75,-15.7667,128.7333,Hotel Kununurra
125,Dingle,PH,78.17,90,10.9995,122.6711,SEGAYA PROPERTY
135,Gold Coast,AU,82.78,67,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
136,Kapaa,US,78.78,100,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
137,Mount Gambier,AU,82.08,0,-37.8333,140.7667,The Commodore
151,Majene,ID,78.08,100,-3.5403,118.9707,Kost Putri RABBANI
152,Port Hedland,AU,78.85,40,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
154,Miri,MY,76.42,89,4.4148,114.0089,"Mega Hotel, Miri"
161,Bengkulu,ID,75.04,97,-3.8004,102.2655,Grage Hotel Bengkulu
164,Puerto Colombia,CO,78.89,2,10.9878,-74.9547,Hotel El Emigrante
171,Vila Velha,BR,80.55,75,-20.3297,-40.2925,Quality Suites Vila Velha
180,Bonthe,SL,77.68,24,7.5264,-12.505,Bonthe Holiday Village
183,Yulara,AU,80.8,0,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
190,Funadhoo,MV,80.01,53,6.15,73.2667,Dhaffalhu Tourist Lodge
197,Arraial Do Cabo,BR,76.53,14,-22.9661,-42.0278,Pousada Porto Praia
199,Mount Isa,AU,83.97,43,-20.7333,139.5,ibis Styles Mt Isa Verona
200,Boma,GH,76.66,81,7.0805,-2.1697,Obaatanpa Hotel
203,Salalah,OM,75.29,0,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Charters Towers,AU,79.39,85,-20.1,146.2667,Cattleman's Rest Motor Inn
210,Sao Joao Da Barra,BR,77.23,0,-21.6403,-41.0511,Pousada Porto De Canoas
212,Maragogi,BR,79.32,60,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
213,Katherine,AU,82.72,75,-14.4667,132.2667,Pine Tree Motel
218,Mankono,CI,77.22,2,8.0586,-6.1897,Hôtel cotonputeur
222,Touba,CI,75.85,1,8.2833,-7.6833,Hotel de L'Amitié Vraie
224,Codrington,AU,79.03,0,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
227,Pangai,TO,77.11,100,-19.8,-174.35,Ha'apai Beach Resort
229,Cravo Norte,CO,89.4,90,6.3017,-70.2041,Hotel Potosí Los Mirtos
230,Limbang,MY,77.11,100,4.75,115.0,Purnama Hotel
231,Acapulco,MX,84.02,0,16.8634,-99.8901,HS Hotsson Smart Acapulco
240,Cabedelo,BR,79.72,5,-6.9811,-34.8339,Hotel Pigalle
